iter	RMSE
0	0.4855277112
1	0.4845320676
2	0.4835078278
3	0.48170456
4	0.4799205987
5	0.478962362
6	0.4779091184
7	0.4766722323
8	0.475121102
9	0.4734846113
10	0.472262747
11	0.4713986014
12	0.4700120724
13	0.4690909617
14	0.4681427427
15	0.4672935713
16	0.4660651438
17	0.4652950549
18	0.4645613353
19	0.4635514665
20	0.462802936
21	0.4618157731
22	0.460953303
23	0.4599860735
24	0.4592845221
25	0.4585974627
26	0.4578479315
27	0.4572828101
28	0.4566576482
29	0.455843051
30	0.455217545
31	0.4546272901
32	0.4540014861
33	0.4532741963
34	0.4527669706
35	0.4518742817
36	0.4515108053
37	0.4506566547
38	0.4501704937
39	0.4497692824
40	0.4489975671
41	0.4482759678
42	0.4476677246
43	0.4473879273
44	0.4465503446
45	0.4458993841
46	0.4452988431
47	0.4448458094
48	0.4441841651
49	0.4436634082
50	0.4432333878
51	0.4429345265
52	0.4422776268
53	0.4416129839
54	0.4412168494
55	0.4406085014
56	0.4402958209
57	0.4398365499
58	0.4391617557
59	0.438461452
60	0.4380405224
61	0.4377137262
62	0.436989256
63	0.4362231783
64	0.4357667956
65	0.4351380963
66	0.434702284
67	0.4341962338
68	0.4338261729
69	0.4333821061
70	0.4326907262
71	0.4324301262
72	0.4318896558
73	0.4312702711
74	0.4306502038
75	0.4301544645
76	0.4298963898
77	0.4293886535
78	0.4287767233
79	0.4281184268
80	0.4277194718
81	0.427398078
82	0.4269244608
83	0.4262811404
84	0.4259147938
85	0.4255892913
86	0.4251612265
87	0.424697397
88	0.4243505692
89	0.4238075325
90	0.4233715888
91	0.4230872606
92	0.4227561403
93	0.4222990009
94	0.421875992
95	0.4211681432
96	0.4208516366
97	0.4203582204
98	0.4199961171
99	0.4196246789
100	0.4191523733
101	0.4187558188
102	0.4182763117
103	0.4178057509
104	0.4172626904
105	0.417014138
106	0.4167062795
107	0.4164404251
108	0.4157411361
109	0.415404069
110	0.4150993305
111	0.4146713791
112	0.4144158494
113	0.4139685591
114	0.4137471241
115	0.4133954199
116	0.4130366525
117	0.4127473992
118	0.412433426
119	0.4120936098
120	0.411770628
121	0.411281542
122	0.4108815097
123	0.4106152282
124	0.4102166437
125	0.4099095524
126	0.409497969
127	0.4091713215
128	0.4088466964
129	0.4083085635
130	0.408029568
131	0.4077761105
132	0.4075306534
133	0.4071156451
134	0.4068485845
135	0.4064919294
136	0.4061534578
137	0.4057339284
138	0.4052401521
139	0.4049400379
140	0.4044729643
141	0.4040292923
142	0.4038215469
143	0.4035318529
144	0.4030800554
145	0.402682595
146	0.4022830419
147	0.4019958552
148	0.4016025808
149	0.4011457259
150	0.4006732013
151	0.4001300433
152	0.3996821904
153	0.399298816
154	0.398902435
155	0.3986598105
156	0.3983985046
157	0.3981023309
158	0.3976583907
159	0.3973727559
160	0.3969362486
161	0.3966613767
162	0.396369229
163	0.3960702279
164	0.3958242616
165	0.3956177295
166	0.3951834182
167	0.3946838154
168	0.3942611093
169	0.3940010929
170	0.3937197569
171	0.3933290107
172	0.3930294411
173	0.3926050326
174	0.3922757791
175	0.3918513976
176	0.3913871393
177	0.3909741528
178	0.3906982989
179	0.3903914894
180	0.3901323091
181	0.3897620493
182	0.3895603354
183	0.3892127606
184	0.3888375861
185	0.3883849291
186	0.3880799302
187	0.3877894903
188	0.3875048362
189	0.3871591721
190	0.3869429978
191	0.3865758998
192	0.3861845391
193	0.3858872578
194	0.3853481104
195	0.384861145
196	0.3844894467
197	0.3842152133
198	0.3837971624
199	0.3835711229
200	0.3831789731
201	0.3828110685
202	0.3822978314
203	0.3818990126
204	0.3816046174
205	0.3812578729
206	0.3811069012
207	0.3804981784
208	0.3801405155
209	0.379795267
210	0.3796034919
211	0.3793177006
212	0.3790519827
213	0.3787582013
214	0.3785258509
215	0.3782053113
216	0.377869606
217	0.3775297557
218	0.3772490782
219	0.3769627763
220	0.3766700063
221	0.3763275191
222	0.3761527789
223	0.3757249278
224	0.3754751774
225	0.375209905
226	0.3747748844
227	0.3745556468
228	0.3741140375
229	0.37378914
230	0.3733712747
231	0.3730856638
232	0.3726874364
233	0.3723742784
234	0.3721369728
235	0.3718412259
236	0.371555086
237	0.3711949924
238	0.3708179123
239	0.3706066481
240	0.3703109693
241	0.3697802072
242	0.3693507759
243	0.3690470715
244	0.3687260344
245	0.368466152
246	0.3681977508
247	0.3678394619
248	0.3676270772
249	0.3672958408
250	0.366996413
251	0.3666599428
252	0.3664440137
253	0.3661401088
254	0.3658261401
255	0.3656493176
256	0.3652442535
257	0.3647174682
258	0.3643818664
259	0.3640139799
260	0.3636664804
261	0.3632936075
262	0.3630455687
263	0.3628351199
264	0.3625602894
265	0.3622382659
266	0.3619486145
267	0.3616721354
268	0.361348787
269	0.3610963038
270	0.3607787113
271	0.3602433577
272	0.3600899722
273	0.3597156821
274	0.3595510134
275	0.3592445656
276	0.3589854924
277	0.3586596214
278	0.3582423458
279	0.3579075821
280	0.357747003
281	0.3573524008
282	0.3570520062
283	0.3568507346
284	0.3564718114
285	0.3562309037
286	0.3560136949
287	0.3557909304
288	0.3556452494
289	0.3553394139
290	0.3550176377
291	0.3548534763
292	0.3545900782
293	0.3544060741
294	0.354202408
295	0.3538580016
296	0.3535582497
297	0.3532587239
298	0.3528589849
299	0.3525837112
300	0.3523167613
301	0.3520047302
302	0.3517152986
303	0.3515653062
304	0.3514273439
305	0.351258442
306	0.3510710929
307	0.3507699778
308	0.3505978029
309	0.3500996892
310	0.3499722044
311	0.3495877843
312	0.3491761265
313	0.348989852
314	0.3488338796
315	0.3486170265
316	0.3483692615
317	0.3481693887
318	0.3478389663
319	0.3476026195
320	0.3474829615
321	0.3472675825
322	0.3470950466
323	0.3469726499
324	0.3467753905
325	0.3466014111
326	0.3463697013
327	0.3462307163
328	0.3460822988
329	0.3457972297
330	0.3455024702
331	0.3452665248
332	0.3450160526
333	0.3448696126
334	0.3446051533
335	0.3442360374
336	0.3439765173
337	0.343795003
338	0.3435681471
339	0.3434147873
340	0.3430780951
341	0.3428455904
342	0.3426147628
343	0.3424136994
344	0.342188297
345	0.3419111268
346	0.3416827213
347	0.3414754426
348	0.3413005175
349	0.3411549876
350	0.3410067106
351	0.3408811378
352	0.3405607393
353	0.3403756619
354	0.3401508447
355	0.3397723443
356	0.3395174847
357	0.3391517898
358	0.3388537816
359	0.3385416023
360	0.3382834593
361	0.3380458516
362	0.3377152145
363	0.3373928068
364	0.3370387756
365	0.3368255075
366	0.3365365209
367	0.3361834725
368	0.3357525063
369	0.3354665681
370	0.3351969413
371	0.3348818807
372	0.3346734836
373	0.3343671316
374	0.3342528144
375	0.334073958
376	0.3338497028
377	0.3336396722
378	0.3332975717
379	0.3331590377
380	0.3328945354
381	0.3327084179
382	0.3326217114
383	0.332338746
384	0.3321758172
385	0.3320367945
386	0.331711088
387	0.3315660635
388	0.331373938
389	0.3312048363
390	0.3309825836
391	0.3308028199
392	0.3304827766
393	0.3303173865
394	0.3300895078
395	0.3298088836
396	0.3294216914
397	0.3290017265
398	0.3286242567
399	0.3283017911
400	0.3280343795
401	0.3278334647
402	0.3276151152
403	0.3275122347
404	0.3273755454
405	0.3272011149
406	0.3269181236
407	0.3267428539
408	0.3265746911
409	0.3263707376
410	0.3261373471
411	0.3258768722
412	0.3255754415
413	0.325304267
414	0.3250957403
415	0.324640727
416	0.324359395
417	0.3241413924
418	0.3237874031
419	0.3234161963
420	0.3231453366
421	0.3228854588
422	0.3226582536
423	0.3225227302
424	0.3223193828
425	0.3221247099
426	0.3219274979
427	0.3217674435
428	0.3214193751
429	0.3211065386
430	0.3208937833
431	0.3206678954
432	0.3204600361
433	0.3201942492
434	0.3200015812
435	0.3197398317
436	0.3196059355
437	0.3194685644
438	0.3193232341
439	0.319119544
440	0.3187530615
441	0.3185943954
442	0.3182820633
443	0.3180864288
444	0.3176377752
445	0.3174035808
446	0.3172019732
447	0.3168681671
448	0.316543796
449	0.3162971712
450	0.3162035087
451	0.3161158153
452	0.315832017
453	0.3155144426
454	0.3152398713
455	0.3150393627
456	0.3147829685
457	0.3145301587
458	0.3143326609
459	0.3141288641
460	0.3139043273
461	0.31367279
462	0.3134706019
463	0.3132051005
464	0.3129732752
465	0.3127549163
466	0.3124406744
467	0.31226748
468	0.3121748647
469	0.3120041005
470	0.311768914
471	0.31161871
472	0.3114312124
473	0.3110545088
474	0.3108011655
475	0.3105989491
476	0.3103411343
477	0.3101150388
478	0.3099102281
479	0.309769819
480	0.3095218435
481	0.3093058187
482	0.3090783283
483	0.3088028916
484	0.3085296402
485	0.3083043911
486	0.3081887912
487	0.307869102
488	0.307780547
489	0.3075048895
490	0.3073037412
491	0.3071706458
492	0.3069795891
493	0.3068225571
494	0.3065784859
495	0.3063712042
496	0.3060638024
497	0.3058364008
498	0.3054519542
499	0.3052972368
500	0.3049808617
501	0.3047668387
502	0.3046282751
503	0.3044790889
504	0.3043504631
505	0.3039920774
506	0.3038722989
507	0.3037017099
508	0.303488725
509	0.30332269
510	0.3031904018
511	0.3030964697
512	0.3028651202
513	0.3026867158
514	0.3025247709
515	0.3023899517
516	0.3021857263
517	0.3018931122
518	0.3016416348
519	0.3013913363
520	0.3011300373
521	0.3008327494
522	0.3006309049
523	0.3004585945
524	0.3001195225
525	0.299901731
526	0.2996075552
527	0.2993989814
528	0.2990618421
529	0.2989068427
530	0.2987159913
531	0.298508281
532	0.29829234
533	0.2981044655
534	0.2979727124
535	0.2977095508
536	0.297456609
537	0.2971661141
538	0.2970263626
539	0.2968614225
540	0.296530117
541	0.2962849265
542	0.296034915
543	0.295744915
544	0.2954993045
545	0.2952651946
546	0.2950334443
547	0.2947135398
548	0.2946020324
549	0.2944057494
550	0.2941566148
551	0.2939752156
552	0.2935942914
553	0.2933965646
554	0.2932746611
555	0.2930756574
556	0.2927670258
557	0.2925698064
558	0.2924308815
559	0.292244381
560	0.2921439587
561	0.2917852719
562	0.2915118879
563	0.2912971274
564	0.2910599693
565	0.2907649849
566	0.2906336863
