iter	Passed	Remaining
0	2	2819
1	5	2663
2	7	2451
3	9	2357
4	11	2302
5	13	2281
6	15	2245
7	17	2231
8	20	2210
9	22	2191
10	24	2189
11	28	2380
12	31	2375
13	34	2422
14	36	2412
15	38	2388
16	40	2367
17	43	2346
18	45	2327
19	47	2308
20	49	2303
21	51	2301
22	53	2288
23	56	2283
24	58	2271
25	60	2258
26	62	2245
27	64	2230
28	66	2217
29	68	2206
30	70	2195
31	72	2185
32	74	2176
33	76	2176
34	78	2167
35	80	2159
36	82	2151
37	84	2144
38	86	2137
39	88	2129
40	90	2121
41	92	2116
42	94	2109
43	96	2102
44	98	2096
45	100	2089
46	102	2083
47	104	2077
48	106	2071
49	109	2076
50	111	2076
51	113	2070
52	115	2064
53	117	2060
54	119	2056
55	121	2053
56	125	2069
57	127	2064
58	129	2058
59	131	2054
60	133	2049
61	135	2049
62	137	2044
63	139	2040
64	141	2036
65	143	2031
66	145	2027
67	147	2023
68	149	2021
69	151	2017
70	153	2013
71	155	2009
72	157	2005
73	159	2001
74	161	1997
75	164	1995
76	171	2052
77	177	2095
78	184	2151
79	191	2199
80	194	2204
81	201	2251
82	206	2282
83	213	2330
84	220	2369
85	227	2415
86	233	2455
87	239	2486
88	245	2511
89	252	2550
90	254	2540
91	256	2530
92	258	2521
93	260	2510
94	262	2500
95	264	2490
96	266	2481
97	268	2473
98	270	2464
99	272	2455
100	274	2445
101	276	2436
102	278	2428
103	280	2419
104	282	2411
105	285	2408
106	287	2400
107	289	2392
108	291	2385
109	293	2377
110	295	2369
111	297	2361
112	299	2353
113	301	2345
114	303	2338
115	305	2331
116	307	2324
117	309	2316
118	311	2309
119	313	2302
120	316	2295
121	318	2288
122	320	2281
123	322	2275
124	324	2268
125	326	2262
126	328	2256
127	330	2250
128	332	2244
129	334	2238
130	336	2231
131	338	2225
132	340	2219
133	342	2213
134	345	2213
135	347	2207
136	349	2201
137	351	2195
138	353	2189
139	355	2184
140	357	2179
141	359	2173
142	361	2167
143	363	2162
144	365	2156
145	367	2150
146	369	2145
147	376	2168
148	382	2183
149	390	2211
150	397	2233
151	404	2254
152	409	2267
153	411	2261
154	413	2255
155	415	2249
156	417	2242
157	419	2236
158	423	2242
159	425	2235
160	427	2229
161	429	2223
162	431	2217
163	433	2211
164	435	2205
165	437	2199
166	439	2194
167	442	2190
168	444	2187
169	447	2184
170	449	2180
171	452	2176
172	454	2172
173	457	2170
174	459	2166
175	461	2162
176	464	2158
177	466	2154
178	468	2149
179	470	2143
180	472	2139
181	474	2133
182	476	2128
183	478	2123
184	480	2118
185	482	2113
186	484	2108
187	487	2103
188	489	2098
189	491	2093
190	493	2088
191	494	2083
192	497	2078
193	499	2073
194	501	2069
195	504	2067
196	506	2063
197	508	2058
198	510	2053
199	512	2048
200	514	2044
201	516	2040
202	518	2035
203	522	2036
204	524	2032
205	526	2028
206	528	2023
207	530	2018
208	532	2014
209	534	2009
210	536	2005
211	538	2001
212	540	1996
213	542	1991
214	544	1988
215	546	1983
216	548	1979
217	550	1975
218	552	1970
219	554	1966
220	556	1962
221	558	1958
222	561	1956
223	563	1952
224	565	1948
225	567	1943
226	569	1939
227	571	1935
228	575	1937
229	579	1938
230	581	1934
231	583	1930
232	585	1926
233	587	1922
234	589	1918
235	591	1914
236	593	1910
237	595	1906
238	597	1902
239	599	1898
240	601	1894
241	603	1891
242	605	1887
243	607	1883
244	609	1879
245	611	1875
246	613	1871
247	615	1867
248	618	1864
249	621	1863
250	623	1859
251	625	1855
252	627	1851
253	629	1847
254	631	1843
255	633	1839
256	635	1835
257	637	1832
258	638	1828
259	640	1824
260	642	1820
261	645	1816
262	647	1813
263	649	1809
264	651	1806
265	653	1802
266	655	1798
267	657	1795
268	659	1791
269	661	1787
270	663	1784
271	665	1780
272	667	1776
273	669	1773
274	671	1769
275	673	1765
276	675	1762
277	677	1760
278	679	1756
279	681	1753
280	683	1749
281	685	1746
282	687	1742
283	690	1740
284	692	1737
285	694	1734
286	696	1730
287	698	1727
288	700	1723
289	702	1720
290	704	1716
291	706	1713
292	708	1710
293	710	1706
294	712	1703
295	714	1700
296	716	1696
297	718	1693
298	720	1690
299	722	1686
300	724	1683
301	726	1679
302	728	1676
303	730	1673
304	732	1670
305	735	1668
306	737	1665
307	739	1662
308	741	1659
309	743	1655
310	745	1652
311	747	1649
312	750	1646
313	752	1642
314	754	1639
315	756	1636
316	758	1633
317	760	1630
318	762	1627
319	768	1633
320	773	1636
321	780	1642
322	782	1640
323	784	1637
324	786	1634
325	788	1630
326	790	1627
327	792	1624
328	795	1621
329	797	1619
330	799	1615
331	801	1612
332	803	1609
333	805	1606
334	807	1603
335	809	1600
336	811	1596
337	813	1593
338	815	1590
339	817	1587
340	819	1584
341	821	1581
342	823	1578
343	825	1575
344	827	1571
345	829	1568
346	831	1565
347	833	1562
348	835	1559
349	837	1556
350	839	1552
351	841	1549
352	843	1546
353	845	1543
354	847	1540
355	849	1537
356	852	1535
357	854	1533
358	857	1530
359	859	1527
360	861	1524
361	863	1521
362	865	1518
363	867	1515
364	869	1512
365	871	1509
366	873	1506
367	875	1503
368	877	1501
369	879	1498
370	881	1495
371	883	1492
372	885	1489
373	887	1486
374	889	1483
375	892	1480
376	894	1477
377	896	1474
378	898	1471
379	900	1468
380	902	1465
381	904	1462
382	906	1459
383	908	1456
384	910	1453
385	912	1451
386	915	1450
387	917	1447
388	919	1444
389	921	1441
390	924	1439
391	926	1436
392	928	1433
393	930	1430
394	932	1427
395	934	1424
396	936	1422
397	938	1419
398	940	1416
399	942	1413
400	944	1410
401	946	1407
402	948	1404
403	950	1401
404	952	1399
405	954	1396
406	956	1393
407	958	1390
408	960	1388
409	962	1385
410	964	1382
411	966	1379
412	969	1377
413	971	1375
414	973	1372
415	975	1369
416	977	1366
417	979	1364
418	981	1361
419	983	1358
420	985	1355
421	987	1353
422	989	1350
423	991	1347
424	993	1344
425	996	1342
426	998	1339
427	1000	1336
428	1002	1334
429	1004	1331
430	1006	1328
431	1008	1325
432	1010	1322
433	1012	1320
434	1014	1317
435	1016	1314
436	1018	1311
437	1020	1309
438	1022	1306
439	1024	1303
440	1026	1301
441	1029	1299
442	1031	1297
443	1033	1294
444	1035	1291
445	1037	1288
446	1039	1286
447	1041	1283
448	1043	1280
449	1045	1278
450	1047	1275
451	1049	1272
452	1051	1269
453	1053	1267
454	1057	1266
455	1059	1263
456	1061	1260
457	1063	1258
458	1065	1255
459	1067	1252
460	1069	1250
461	1071	1247
462	1073	1244
463	1075	1242
464	1077	1239
465	1079	1236
466	1081	1233
467	1083	1231
